date,year,month,ngd
2016-01-01,2016,1,2455
2016-02-01,2016,2,1832
2016-03-01,2016,3,1409
2016-04-01,2016,4,797
2016-05-01,2016,5,385
2016-06-01,2016,6,252
2016-07-01,2016,7,182
2016-08-01,2016,8,197
2016-09-01,2016,9,229
2016-10-01,2016,10,476
2016-11-01,2016,11,1129
2016-12-01,2016,12,2244
2017-01-01,2017,1,3016
2017-02-01,2017,2,2373
2017-03-01,2017,3,1878
2017-04-01,2017,4,1203
2017-05-01,2017,5,565
2017-06-01,2017,6,233
2017-07-01,2017,7,218
2017-08-01,2017,8,198
2017-09-01,2017,9,230
2017-10-01,2017,10,512
2017-11-01,2017,11,1186
2017-12-01,2017,12,1836
2018-01-01,2018,1,2485
2018-02-01,2018,2,2182
2018-03-01,2018,3,1853
2018-04-01,2018,4,985
2018-05-01,2018,5,448
2018-06-01,2018,6,213
2018-07-01,2018,7,231
2018-08-01,2018,8,204
2018-09-01,2018,9,283
2018-10-01,2018,10,436
2018-11-01,2018,11,1098
2018-12-01,2018,12,2324
2019-01-01,2019,1,3033
2019-02-01,2019,2,2541
2019-03-01,2019,3,2198
2019-04-01,2019,4,1634
2019-05-01,2019,5,781
2019-06-01,2019,6,278
2019-07-01,2019,7,227
2019-08-01,2019,8,268
2019-09-01,2019,9,248
2019-10-01,2019,10,395
2019-11-01,2019,11,769
2019-12-01,2019,12,2029
2020-01-01,2020,1,2975
2020-02-01,2020,2,2762
2020-03-01,2020,3,2172
2020-04-01,2020,4,1715
2020-05-01,2020,5,833
2020-06-01,2020,6,380
2020-07-01,2020,7,241
2020-08-01,2020,8,278
2020-09-01,2020,9,247
2020-10-01,2020,10,384
2020-11-01,2020,11,1155
2020-12-01,2020,12,2321
2021-01-01,2021,1,2657
2021-02-01,2021,2,2709
2021-03-01,2021,3,2832
2021-04-01,2021,4,1920
2021-05-01,2021,5,726
2021-06-01,2021,6,353
2021-07-01,2021,7,230
2021-08-01,2021,8,302
2021-09-01,2021,9,305
2021-10-01,2021,10,505
2021-11-01,2021,11,1235
2021-12-01,2021,12,2259
2022-01-01,2022,1,3286
2022-02-01,2022,2,3514
2022-03-01,2022,3,3217
2022-04-01,2022,4,2329
2022-05-01,2022,5,902
2022-06-01,2022,6,400
2022-07-01,2022,7,251
2022-08-01,2022,8,319
2022-09-01,2022,9,312
2022-10-01,2022,10,424
2022-11-01,2022,11,1032
2022-12-01,2022,12,2070
2023-01-01,2023,1,2781
2023-02-01,2023,2,2948
2023-03-01,2023,3,2746
2023-04-01,2023,4,1580
2023-05-01,2023,5,1834
2023-06-01,2023,6,688
2023-07-01,2023,7,363
2023-08-01,2023,8,278
2023-09-01,2023,9,286
2023-10-01,2023,10,409
2023-11-01,2023,11,756
2023-12-01,2023,12,2274
2024-01-01,2024,1,3266
2024-02-01,2024,2,3602
2024-03-01,2024,3,2946
2024-04-01,2024,4,1960
2024-05-01,2024,5,852
2024-06-01,2024,6,478
2024-07-01,2024,7,339
2024-08-01,2024,8,290
2024-09-01,2024,9,303
2024-10-01,2024,10,435
2024-11-01,2024,11,1569
2024-12-01,2024,12,3071
2025-01-01,2025,1,3719
2025-02-01,2025,2,3793
2025-03-01,2025,3,3829
2025-04-01,2025,4,2376
2025-05-01,2025,5,1494
2025-06-01,2025,6,516
2025-07-01,2025,7,333
2025-08-01,2025,8,288
2025-09-01,2025,9,308
2025-10-01,2025,10,535
2025-11-01,2025,11,1237
2025-12-01,2025,12,2419
